Tarih,Şimdi,Açılış,Yüksek,Düşük,Fark %
31.12.2020,"7,4320","7,3815","7,4983","7,3444","0,74%"
30.12.2020,"7,3774","7,3865","7,3993","7,3030","-0,06%"
29.12.2020,"7,3815","7,4466","7,4804","7,3376","-0,81%"
28.12.2020,"7,4416","7,5716","7,5756","7,4035","-1,40%"
27.12.2020,"7,4416","7,5716","7,5756","7,4035","-1,40%"
26.12.2020,"7,4416","7,5716","7,5756","7,4035","-1,40%"
25.12.2020,"7,5470","7,5801","7,6016","7,5305","-0,37%"
24.12.2020,"7,5747","7,6398","7,6757","7,5460","-0,80%"
23.12.2020,"7,6361","7,6632","7,6711","7,6140","-0,27%"
22.12.2020,"7,6570","7,6506","7,6786","7,6129","0,10%"
21.12.2020,"7,6491","7,6310","7,7376","7,6234","0,33%"
20.12.2020,"7,6491","7,6310","7,7376","7,6234","0,33%"
19.12.2020,"7,6491","7,6310","7,7376","7,6234","0,33%"
18.12.2020,"7,6239","7,7009","7,7607","7,6122","-0,94%"
17.12.2020,"7,6959","7,7999","7,8097","7,6896","-1,27%"
16.12.2020,"7,7949","7,8440","7,8492","7,7573","-0,45%"
15.12.2020,"7,8300","7,8534","7,8734","7,8113","-0,23%"
14.12.2020,"7,8483","7,8601","7,9392","7,8234","-0,10%"
13.12.2020,"7,8483","7,8601","7,9392","7,8234","-0,10%"
12.12.2020,"7,8483","7,8601","7,9392","7,8234","-0,10%"
11.12.2020,"7,8562","7,8841","8,0347","7,8149","-0,38%"
10.12.2020,"7,8864","7,8263","7,9256","7,8163","0,91%"
09.12.2020,"7,8156","7,8155","7,8524","7,7888","0,13%"
08.12.2020,"7,8055","7,8007","7,8529","7,7865","0,11%"
07.12.2020,"7,7973","7,8029","7,8774","7,7958","-0,01%"
06.12.2020,"7,7973","7,8029","7,8774","7,7958","-0,01%"
05.12.2020,"7,7973","7,8029","7,8774","7,7958","-0,01%"
04.12.2020,"7,7981","7,7739","7,8498","7,7477","0,41%"
03.12.2020,"7,7665","7,8524","7,9250","7,7497","-1,07%"
02.12.2020,"7,8502","7,8290","7,8836","7,7717","0,32%"
01.12.2020,"7,8248","7,8328","7,9213","7,7961","-0,05%"
30.11.2020,"7,8284","7,8353","7,8653","7,7424","-0,06%"
